,season,date_game,school_name,game_location,opp_name,game_type,game_result,gs,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
138,2019-20,2020-01-18,Kansas,@,Texas,REG,W,0,4,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0
139,2019-20,2020-01-21,Kansas,,Kansas State,REG,W,0,29,7,15,.467,1,5,.200,6,10,.600,0,0,,1,3,4,1,2,0,0,2,20
140,2019-20,2020-01-25,Kansas,,Tennessee,REG,W,0,32,2,8,.250,1,4,.250,1,4,.250,2,2,1.000,1,3,4,1,0,0,1,3,7
141,2019-20,2020-01-27,Kansas,@,Oklahoma State,REG,W,1,33,5,11,.455,1,3,.333,4,8,.500,2,2,1.000,3,6,9,0,2,1,2,3,16
142,2019-20,2020-02-01,Kansas,,Texas Tech,REG,W,1,31,1,2,.500,0,0,,1,2,.500,3,4,.750,0,5,5,0,1,0,0,2,6
143,2019-20,2020-02-03,Kansas,,Texas,REG,W,1,23,1,5,.200,1,3,.333,0,2,.000,2,2,1.000,0,5,5,0,1,0,0,1,4
144,2019-20,2020-02-08,Kansas,@,TCU,REG,W,1,20,0,2,.000,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,2,0,0
145,2019-20,2020-02-12,Kansas,@,West Virginia,REG,W,1,16,1,1,1.000,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,0,2
146,2019-20,2020-02-15,Kansas,,Oklahoma,REG,W,0,10,1,2,.500,0,0,,1,2,.500,0,0,,0,0,0,1,0,1,0,0,3
147,2019-20,2020-02-17,Kansas,,Iowa State,REG,W,0,22,5,6,.833,2,2,1.000,3,4,.750,0,0,,1,2,3,1,1,0,0,1,13
148,2019-20,2020-02-22,Kansas,@,Baylor,REG,W,0,21,2,3,.667,2,2,1.000,0,1,.000,0,0,,0,0,0,0,1,0,0,2,4
